fuente;tabla;Anio;DepartamentoCodigo;EstacionAgr;columna;n_registros;n_vacios;n_marcadores_nulo;n_ceros;n_guiones;n_faltantes_csv;n_presentes;porcentaje_faltantes
INIA;INIA;2016;2;Las Brujas;TempSD05cm(min);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSD10cm(max);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSD10cm(med);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;TempSD10cm(min);366;366;0;0;0;366;0;100,0
INIA;INIA;2016;2;Las Brujas;UnTermicasArroz;366;0;0;62;0;0;366;0,0
INIA;INIA;2016;2;Las Brujas;UnidadFrio;366;0;0;1;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;AmplitudTermica;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;Anio;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;Dia;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;EstacionAgr;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;EvapPiche;366;3;0;0;0;3;363;0,8197
INIA;INIA;2016;4;La Estanzuela;EvapTanque;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;EvapotranspPenman;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;GradosMenos10;366;47;0;9;0;47;319;12,8415
INIA;INIA;2016;4;La Estanzuela;GradosMenos10p5;366;53;0;16;0;53;313;14,4809
INIA;INIA;2016;4;La Estanzuela;GradosMenos12p8;366;92;0;33;0;92;274;25,1366
INIA;INIA;2016;4;La Estanzuela;GradosMenos4p5;366;0;0;0;0;0;366;0,0
INIA;INIA;2016;4;La Estanzuela;GradosMenos6;366;0;0;0;0;0;366;0,0
